,0
capital,0.04272368775914929
credit,0.02764330910650733
industry-leading,0.01307419192388133
significant_amount,0.015292508356513378
reserve,0.022161636669438545
excess,0.018666425205272317
return,0.03966326098674347
rich,0.01233173778271025
note,0.03527831899170166
streak,0.004118961043790839
intensity,0.006349869794768138
contribute,0.027453939072742885
save,0.02841826730193052
pay_down,0.014420257981687765
debt,0.04716972075614388
offset,0.021220997517515022
net,0.041816791747075
total,0.03995506052407256
average,0.037508757316801054
year-end,0.021500971794885124
free,0.026705315402385358
loss,0.032446290292668704
color,0.023706392451943573
double_digit,0.01284605439212385
soft,0.016933517366005128
family_member,0.005439274918933781
bp,0.005864773323393663
delinquency,0.005314577664033534
auto_business,0.008950200514377745
reflective,0.00643821114526575
revolver,0.011766804091946987
credit_market,0.005426839477698313
rational,0.007965388468601498
amount,0.03022190566160116
seasonally,0.0058053669645466
extra,0.019530697852438418
single-digit,0.010203441359583001
lap,0.003368115346671207
mid-teens,0.02341746167802965
go_up,0.017170411068783385
origination,0.00647511094000884
stock,0.03468919507285628
revenue,0.045259558115151415
expense,0.03969069692735448
revenue_side,0.0076769967663617746
essentially,0.02633256292787495
cost,0.03140179049721502
projection,0.025877250676841358
count,0.021323632980305516
notably,0.01634691523951236
destination,0.009534283487481877
revenue_opportunity,0.008659806208692953
positioning,0.00833864495705682
deposit,0.0188750349029908
volume,0.0353998815499945
hybrid_model,0.006765055663988215
alter,0.007116543960738125
unbelievable,0.007223309654993055
invest_heavily,0.009499224339638438
underwrite,0.010898141843894866
outsized,0.009726183822097908
striking,0.006739710116512761
capital_return,0.008286650362864637
shareholder_return,0.009477569115612546
return_capital,0.01449811990591659
minimum,0.02410663580553493
capital_requirement,0.007866520115930512
buffer,0.009655163995726914
remainder,0.01146298968019814
dividend,0.03984015972144848
forward-looking_statement_base_upon,0.0
user_advise_review_the_applicable_company_conference_call_itself,0.0
pursuant_to,0.01664652879317143
non-gaap,0.02681397786718551
pure-play,0.006854387687902554
climate-focused,0.00149053142975321
relentless,0.0060303199054265715
business_reinvestment,0.0015946749349226542
market_position,0.0094214448004045
solidify,0.009481665153593197
savings,0.024587971560031365
heavy,0.011239307377167935
reinvestment,0.005421550256367287
fund,0.047850120809594894
incremental,0.029386969750949458
sustainably,0.007841461168931389
formula,0.004746740247203797
